bit,dose,f0,f0 std
0,-1,1231.25,44.633927678392816
1,-1,1250.0,0.0
2,-1,1193.75,150.39011769394955
3,-1,1250.0,0.0
4,-1,1200.0,150.0
5,-1,1237.5,37.5
6,-1,1231.25,113.70878374162658
7,-1,1218.75,110.9264959331178
0,0,1218.75,110.9264959331178
1,0,1106.25,210.18964651000297
2,0,1243.798828125,27.255149074854266
3,0,1150.0,200.0
4,0,1212.5,112.5
5,0,1231.25,44.633927678392816
6,0,1193.75,150.39011769394955
7,0,1243.798828125,27.255149074854266
0,1,1131.396484375,299.32516411917237
1,1,1187.646484375,165.52612664329453
2,1,1250.29296875,0.44751715771053124
3,1,1112.744140625,212.65833509601575
4,1,1118.84765625,314.8721459695905
5,1,1225.09765625,84.80842318536807
6,1,1218.896484375,110.96830343351583
7,1,1106.25,301.5707538641332
0,2,1032.421875,444.2982255631069
1,2,1150.244140625,293.4839667273899
2,2,1118.994140625,297.1641778469075
3,2,997.75390625,500.09670276100275
4,2,1134.765625,301.0693248112221
5,2,1206.34765625,113.6393602149514
6,2,1056.787109375,447.60806638234936
7,2,1069.62890625,310.4923761878484
0,3,620.458984375,617.6136930720421
1,3,694.140625,612.2848755766088
2,3,976.318359375,443.0432642138931
3,3,479.39453125,560.2639492465291
4,3,462.158203125,562.5658526550077
5,3,965.185546875,294.01283274430193
6,3,704.052734375,578.2804929557736
7,3,739.013671875,488.5276599928549
0,4,251.66015625,499.1778385311099
1,4,515.673828125,522.5337159991942
2,4,1002.05078125,388.90096842458127
3,4,274.51171875,497.2442886078236
4,4,235.3515625,464.7944063555879
5,4,679.541015625,510.990961293496
6,4,331.103515625,502.41549440821774
7,4,219.091796875,443.60863757706215
0,5,0.830078125,0.8883498729814576
1,5,272.0703125,487.1409928278573
2,5,513.037109375,353.0587834753312
3,5,4.1015625,3.3059200937130386
4,5,68.603515625,271.05210833676864
5,5,262.841796875,405.9799793503003
6,5,260.791015625,443.8941694507068
7,5,118.212890625,268.12474017364076
0,6,0.341796875,0.46579062569186797
1,6,67.1875,184.2324950806788
2,6,587.890625,466.09160322717355
3,6,2.05078125,2.84546919615888
4,6,5.46875,3.5533994919258305
5,6,5.224609375,4.259816669226496
6,6,8.7890625,1.8269811458857135
7,6,29.931640625,97.49071663897045
0,7,0.244140625,0.4228639666916204
1,7,10.3515625,3.485657870620068
2,7,656.54296875,275.10497083814823
3,7,0.68359375,1.384516296753694
4,7,4.150390625,4.431001014332278
5,7,4.39453125,1.70549308560283
6,7,8.3984375,2.4198265026101304
7,7,7.51953125,4.155844302920549
0,8,0.09765625,0.29296875
1,8,10.64453125,1.9989735830526094
2,8,785.009765625,111.41216117938332
3,8,1.07421875,1.66015625
4,8,2.734375,3.1127690333025835
5,8,3.90625,1.4151735103700624
6,8,7.958984375,3.19852172561764
7,8,5.17578125,2.9475367720286267
0,9,0.341796875,0.7092694846842749
1,9,9.27734375,3.4870255998744386
2,9,726.416015625,233.47305190542642
3,9,0.048828125,0.21283686247757194
4,9,0.48828125,0.5777421663183219
5,9,3.80859375,2.203225424351265
6,9,7.91015625,3.2667438835308067
7,9,6.34765625,2.3820919761036072
